date,open,close,high,low,volume
2023-01-03,1551.844,1550.654,1559.074,1526.654,26034.000
2023-01-04,1550.644,1545.654,1559.344,1536.644,20416.000
2023-01-05,1557.644,1621.644,1621.644,1553.644,47943.000
2023-01-06,1626.764,1624.414,1632.544,1607.644,24904.000
2023-01-09,1655.644,1661.844,1670.624,1628.464,30977.000
2023-01-10,1659.704,1675.094,1685.144,1651.144,22732.000
2023-01-11,1676.644,1665.594,1680.644,1657.484,22720.000
2023-01-12,1668.644,1654.644,1676.644,1653.644,17193.000
2023-01-13,1664.824,1707.644,1708.644,1660.644,31940.000
2023-01-16,1706.644,1733.544,1755.644,1701.644,36848.000
2023-01-17,1733.804,1728.644,1743.644,1715.644,21299.000
2023-01-18,1734.644,1713.644,1745.944,1710.644,21063.000
2023-01-19,1713.144,1700.854,1713.164,1686.644,23439.000
2023-01-20,1709.834,1680.654,1718.894,1678.644,25609.000
2023-01-30,1729.644,1708.644,1729.644,1700.644,35923.000
2023-01-31,1717.144,1666.404,1720.594,1653.714,32991.000
2023-02-01,1675.624,1665.614,1679.644,1632.044,33974.000
2023-02-02,1669.024,1656.754,1679.644,1646.644,29759.000
2023-02-03,1640.644,1638.644,1646.644,1616.324,34945.000
2023-02-06,1600.644,1615.644,1615.644,1580.644,42661.000
2023-02-07,1628.724,1617.644,1629.444,1608.374,24322.000
2023-02-08,1620.654,1604.644,1626.614,1595.644,16676.000
2023-02-09,1598.644,1638.644,1650.394,1595.654,29754.000
2023-02-10,1630.744,1630.644,1639.134,1621.694,17985.000
2023-02-13,1630.644,1676.994,1695.144,1630.644,38147.000
2023-02-14,1677.104,1664.434,1678.044,1655.644,19566.000
2023-02-15,1664.424,1661.644,1675.944,1656.454,18177.000
2023-02-16,1661.984,1682.464,1707.644,1648.644,33246.000
2023-02-17,1670.804,1641.424,1693.644,1640.694,26443.000
2023-02-20,1641.644,1695.644,1699.444,1637.844,29669.000
2023-02-21,1694.644,1687.644,1694.644,1671.644,18751.000
2023-02-22,1675.654,1656.644,1684.544,1652.444,21869.000
2023-02-23,1660.644,1638.644,1669.444,1625.894,21881.000
2023-02-24,1630.754,1608.644,1630.834,1602.824,24635.000
2023-02-27,1599.144,1631.054,1635.644,1595.664,22065.000
2023-02-28,1639.644,1634.384,1642.654,1603.944,23952.000
2023-03-01,1633.644,1659.174,1668.644,1623.874,24458.000
2023-03-02,1649.644,1648.644,1659.634,1641.744,13144.000
2023-03-03,1660.414,1638.684,1662.254,1623.124,16198.000
2023-03-06,1638.824,1627.784,1639.144,1617.414,20646.000
2023-03-07,1626.624,1608.944,1637.244,1608.644,22785.000
2023-03-08,1600.664,1591.064,1606.584,1581.764,22764.000
2023-03-09,1588.644,1590.664,1605.644,1560.644,27612.000
2023-03-10,1572.214,1570.644,1601.644,1570.644,21161.000
2023-03-13,1571.644,1582.644,1595.644,1569.644,20560.000
2023-03-14,1584.424,1586.644,1600.524,1559.144,23705.000
2023-03-15,1599.014,1571.564,1605.524,1570.764,19213.000
2023-03-16,1560.644,1572.634,1590.644,1559.654,17646.000
2023-03-17,1590.644,1562.644,1596.534,1556.644,27023.000
2023-03-20,1571.644,1550.244,1575.644,1548.644,20491.000
2023-03-21,1555.644,1595.644,1606.494,1544.614,31142.000
2023-03-22,1600.644,1593.994,1613.644,1586.194,15330.000
2023-03-23,1586.644,1595.504,1611.754,1585.654,17356.000
2023-03-24,1589.724,1599.264,1604.244,1586.644,12770.000
2023-03-27,1599.244,1588.434,1599.244,1576.644,15296.000
2023-03-28,1590.644,1602.444,1610.644,1585.664,17261.000
2023-03-29,1619.644,1610.644,1620.644,1605.714,15393.000
2023-03-30,1613.644,1620.644,1625.644,1599.644,19257.000
2023-03-31,1645.644,1640.644,1668.644,1639.644,27446.000
2023-04-03,1645.644,1622.714,1648.414,1620.724,21417.000
2023-04-04,1632.644,1635.234,1635.814,1607.644,20066.000
2023-04-06,1625.644,1617.604,1636.544,1608.864,14874.000
2023-04-07,1615.644,1611.634,1626.654,1608.984,13525.000
2023-04-10,1611.524,1592.344,1611.524,1564.644,29418.000
2023-04-11,1613.644,1566.144,1613.644,1564.644,29209.000
2023-04-12,1567.904,1514.744,1570.644,1513.464,51105.000
2023-04-13,1510.644,1543.644,1544.234,1504.654,29543.000
2023-04-14,1546.644,1534.064,1553.644,1525.444,21232.000
2023-04-17,1560.644,1573.644,1573.644,1548.644,30467.000
2023-04-18,1573.644,1578.644,1589.644,1566.664,18314.000
2023-04-19,1582.644,1579.644,1586.144,1570.644,14601.000
2023-04-20,1580.754,1562.524,1585.644,1549.644,19885.000
2023-04-21,1566.644,1546.114,1568.724,1541.924,18518.000
2023-04-24,1541.644,1525.644,1542.644,1521.644,20231.000
2023-04-25,1526.644,1551.024,1556.624,1522.644,20583.000
2023-04-26,1564.644,1564.554,1581.644,1540.644,27892.000
2023-04-27,1568.644,1578.564,1590.644,1550.644,25605.000
2023-04-28,1583.654,1581.164,1603.414,1574.614,26225.000
2023-05-04,1589.644,1570.544,1598.314,1556.644,27466.000
2023-05-05,1586.644,1570.644,1586.644,1557.034,20714.000
2023-05-08,1588.964,1541.164,1589.644,1537.814,33171.000
2023-05-09,1535.644,1542.644,1560.624,1527.714,29378.000
2023-05-10,1535.834,1545.644,1556.644,1535.644,20773.000
2023-05-11,1551.644,1537.714,1555.644,1535.644,15246.000
2023-05-12,1535.644,1527.044,1550.524,1525.654,19460.000
2023-05-15,1522.644,1536.944,1537.644,1511.844,25740.000
2023-05-16,1534.634,1523.934,1540.634,1517.644,22224.000
2023-05-17,1528.644,1521.644,1533.644,1519.654,16777.000
2023-05-18,1525.634,1511.644,1526.044,1510.644,19219.000
2023-05-19,1491.644,1520.144,1524.974,1476.194,26741.000
2023-05-22,1510.654,1566.644,1572.644,1510.644,41284.000
2023-05-23,1574.634,1545.194,1574.644,1545.194,16894.000
2023-05-24,1552.974,1531.544,1554.194,1530.754,18479.000
2023-05-25,1526.634,1521.644,1530.644,1510.644,22466.000
2023-05-26,1522.644,1511.204,1525.644,1495.654,18291.000
2023-05-29,1517.644,1509.644,1518.994,1498.644,17771.000
2023-05-30,1509.644,1488.934,1519.534,1479.204,26453.000
2023-05-31,1481.654,1449.544,1486.364,1447.314,36957.000
2023-06-01,1438.644,1456.564,1495.634,1438.644,28645.000
2023-06-02,1465.644,1491.244,1493.794,1456.754,25058.000
2023-06-05,1486.804,1485.644,1503.524,1483.644,16201.000
2023-06-06,1490.644,1487.634,1504.644,1472.194,19914.000
2023-06-07,1493.634,1471.544,1499.444,1470.644,17890.000
2023-06-08,1476.474,1488.644,1495.644,1470.654,14703.000
2023-06-09,1492.634,1486.644,1498.614,1486.644,17580.000
2023-06-12,1486.664,1516.644,1528.644,1482.164,27029.000
2023-06-13,1514.524,1519.644,1525.254,1505.644,14663.000
2023-06-14,1539.644,1547.524,1554.884,1526.854,31506.000
2023-06-15,1550.984,1575.644,1576.294,1543.644,25223.000
2023-06-16,1577.644,1618.334,1620.644,1570.744,37918.000
2023-06-19,1610.644,1564.644,1618.594,1558.644,31700.000
2023-06-20,1560.644,1564.104,1585.644,1555.644,20947.000
2023-06-21,1560.644,1556.474,1577.244,1555.644,17721.000
2023-06-26,1540.754,1529.644,1550.644,1515.644,23993.000
2023-06-27,1530.634,1531.694,1540.344,1520.734,15174.000
2023-06-28,1533.824,1549.024,1554.644,1531.644,18574.000
2023-06-29,1551.644,1534.354,1555.634,1533.654,14231.000
2023-06-30,1546.555,1537.555,1555.545,1533.035,20459.000
2023-07-03,1545.555,1570.655,1571.835,1538.555,19139.000
2023-07-04,1570.755,1577.155,1580.995,1564.635,12472.000
2023-07-05,1576.555,1561.935,1578.525,1546.555,14745.000
2023-07-06,1555.715,1549.535,1579.555,1546.555,15141.000
2023-07-07,1547.555,1536.585,1555.545,1536.555,15167.000
2023-07-10,1551.555,1547.455,1561.515,1546.555,13477.000
2023-07-11,1556.555,1556.555,1561.725,1548.655,12583.000
2023-07-12,1559.595,1560.355,1569.555,1557.885,13285.000
2023-07-13,1568.545,1584.955,1591.965,1565.565,25807.000
2023-07-14,1602.555,1599.555,1605.055,1587.755,18550.000
2023-07-17,1597.555,1576.525,1597.555,1573.155,14336.000
2023-07-18,1580.135,1569.355,1581.065,1567.555,14738.000
2023-07-19,1561.565,1569.555,1574.555,1560.355,12483.000
2023-07-20,1574.545,1570.555,1595.535,1568.555,16693.000
2023-07-21,1578.435,1617.855,1619.055,1572.555,39377.000
2023-07-24,1597.075,1617.705,1617.705,1597.075,19713.000
2023-07-25,1646.555,1675.105,1675.435,1646.545,43086.000
2023-07-26,1675.105,1675.105,1682.545,1661.635,19611.000
2023-07-27,1682.555,1684.585,1701.345,1675.255,20340.000
2023-07-28,1678.555,1743.555,1746.555,1674.565,39018.000
