date,open,close,high,low,volume
2023-01-03,196.291,194.980,196.608,190.580,104820.000
2023-01-04,193.235,191.852,193.513,190.763,196023.000
2023-01-05,194.069,204.908,206.385,192.408,260433.000
2023-01-06,204.069,209.991,214.613,202.991,183925.000
2023-01-09,213.447,209.958,213.447,208.513,128403.000
2023-01-10,210.547,218.513,220.180,208.124,182607.000
2023-01-11,217.680,216.213,220.735,214.069,122418.000
2023-01-12,218.513,219.347,222.280,217.224,111368.000
2023-01-13,225.180,222.680,229.913,217.402,207575.000
2023-01-16,222.124,226.641,228.235,220.241,168091.000
2023-01-17,226.808,226.074,229.552,224.963,98958.000
2023-01-18,227.685,227.680,229.002,224.685,73443.000
2023-01-19,225.919,226.719,229.347,224.174,73100.000
2023-01-20,226.719,229.624,229.735,225.324,107657.000
2023-01-30,244.830,239.985,251.047,238.219,211743.000
2023-01-31,239.558,236.958,243.791,235.424,139540.000
2023-02-01,240.174,243.402,244.824,239.891,115022.000
2023-02-02,244.552,237.458,245.013,236.780,134557.000
2023-02-03,236.291,231.958,237.513,229.280,120200.000
2023-02-06,229.624,228.847,230.469,223.563,107529.000
2023-02-07,228.785,227.458,230.624,225.547,72112.000
2023-02-08,228.291,226.963,230.430,225.735,73299.000
2023-02-09,226.963,230.174,231.841,223.791,80314.000
2023-02-10,230.180,226.263,231.669,225.741,83978.000
2023-02-13,229.058,234.069,234.941,226.852,134185.000
2023-02-14,239.069,229.097,239.235,226.174,128122.000
2023-02-15,230.235,227.735,232.402,227.402,77734.000
2023-02-16,229.619,224.735,231.013,221.847,100911.000
2023-02-17,224.069,211.952,224.069,211.847,214696.000
2023-02-20,209.624,212.108,212.891,204.252,168299.000
2023-02-21,210.447,209.074,213.230,207.402,131846.000
2023-02-22,205.735,205.997,208.569,204.441,123639.000
2023-02-23,206.291,208.085,209.141,204.847,95373.000
2023-02-24,206.847,203.735,207.291,202.969,99894.000
2023-02-27,202.252,201.347,203.780,200.791,92206.000
2023-02-28,202.952,202.902,205.347,201.569,93231.000
2023-03-01,202.458,207.280,208.613,202.419,126020.000
2023-03-02,206.013,201.180,206.847,198.624,161453.000
2023-03-03,202.013,202.024,203.908,200.735,82031.000
2023-03-06,201.941,205.413,205.663,196.297,166267.000
2023-03-07,202.958,201.958,205.730,201.752,99184.000
2023-03-08,200.741,199.474,202.363,198.019,81294.000
2023-03-09,198.624,199.074,201.447,194.202,81367.000
2023-03-10,201.674,203.952,206.252,198.458,191426.000
2023-03-13,202.419,196.291,204.435,195.180,188332.000
2023-03-14,195.669,193.641,195.735,188.513,184847.000
2023-03-15,196.847,194.069,198.369,191.635,129683.000
2023-03-16,191.847,192.463,195.130,191.569,101132.000
2023-03-17,194.624,187.391,195.174,187.124,201447.000
2023-03-20,186.591,189.597,192.180,182.958,158370.000
2023-03-21,190.847,197.280,197.502,188.902,172924.000
2023-03-22,200.035,200.291,205.547,199.080,176872.000
2023-03-23,199.624,199.835,201.802,197.641,100289.000
2023-03-24,199.847,197.169,201.991,195.180,117653.000
2023-03-27,195.797,198.791,199.958,192.080,161157.000
2023-03-28,197.402,196.624,198.613,195.291,75906.000
2023-03-29,198.074,200.835,203.113,196.863,137546.000
2023-03-30,201.285,200.797,201.847,199.263,86819.000
2023-03-31,203.235,204.097,209.058,203.235,196076.000
2023-04-03,204.130,200.019,204.513,198.513,167632.000
2023-04-04,200.730,194.069,200.730,190.630,200897.000
2023-04-06,191.847,194.080,194.930,189.708,105816.000
2023-04-07,193.041,195.463,197.402,192.047,100581.000
2023-04-10,197.341,201.852,201.908,194.069,172379.000
2023-04-11,200.741,200.708,206.219,199.624,143663.000
2023-04-12,200.735,196.297,200.735,196.291,87367.000
2023-04-13,195.180,194.213,195.935,192.402,100464.000
2023-04-14,194.013,199.230,202.052,193.791,159237.000
2023-04-17,198.697,205.113,206.291,198.402,176632.000
2023-04-18,205.119,205.735,210.735,204.785,140605.000
2023-04-19,208.791,206.497,208.980,204.069,116224.000
2023-04-20,206.458,198.513,206.458,198.513,158438.000
2023-04-21,203.235,203.508,209.024,200.180,252760.000
2023-04-24,203.569,199.002,204.069,196.780,173774.000
2023-04-25,199.624,192.902,199.624,189.624,168989.000
2023-04-26,192.913,204.413,207.863,189.923,397075.000
2023-04-27,203.913,210.913,212.393,202.223,339691.000
2023-04-28,213.913,210.763,217.243,206.803,271048.000
2023-05-04,210.913,205.433,212.413,204.463,194091.000
2023-05-05,204.913,206.913,209.913,203.633,167409.000
2023-05-08,209.913,210.723,213.703,205.973,227531.000
2023-05-09,210.293,205.743,210.293,203.963,196538.000
2023-05-10,205.713,212.433,214.163,201.123,289568.000
2023-05-11,212.463,220.313,222.893,211.113,347474.000
2023-05-12,221.903,217.893,224.473,217.893,223100.000
2023-05-15,220.923,218.203,223.913,215.013,267065.000
2023-05-16,218.313,218.913,220.883,216.683,139740.000
2023-05-17,218.913,219.913,221.593,215.973,182464.000
2023-05-18,221.213,212.313,221.283,210.953,241239.000
2023-05-19,211.663,209.913,214.093,209.913,194722.000
2023-05-22,208.913,210.213,212.413,206.913,146791.000
2023-05-23,210.793,205.333,211.623,205.063,196132.000
2023-05-24,204.713,205.163,208.423,203.633,147857.000
2023-05-25,204.763,204.003,207.593,202.403,137533.000
2023-05-26,204.113,199.913,204.413,197.413,182117.000
2023-05-29,202.113,196.973,202.133,195.513,165372.000
2023-05-30,196.913,204.903,204.903,195.923,264671.000
2023-05-31,204.963,201.083,206.803,200.073,188697.000
2023-06-01,202.553,202.813,207.913,201.423,159410.000
2023-06-02,204.813,208.353,209.903,203.913,231815.000
2023-06-05,205.813,199.713,205.813,196.303,335951.000
2023-06-06,197.923,199.193,202.213,196.893,172425.000
2023-06-07,196.293,187.213,196.413,184.363,500939.000
2023-06-08,192.663,187.923,193.213,186.913,238579.000
2023-06-09,188.463,191.953,193.043,188.463,242617.000
2023-06-12,191.863,191.863,193.913,188.813,181316.000
2023-06-13,190.923,193.013,193.843,190.593,132437.000
2023-06-14,197.063,193.313,197.543,192.913,163629.000
2023-06-15,194.903,210.793,210.793,194.803,504957.000
2023-06-16,211.913,211.013,214.083,208.213,296398.000
2023-06-19,212.903,207.793,212.903,205.913,187071.000
2023-06-20,207.783,207.913,211.223,205.683,179605.000
2023-06-21,208.723,204.823,210.413,204.813,171184.000
2023-06-26,199.823,205.083,206.863,199.593,159106.000
2023-06-27,203.893,203.383,206.213,201.093,134206.000
2023-06-28,202.133,204.413,206.413,201.913,135586.000
2023-06-29,203.423,202.413,206.823,202.413,99302.000
2023-06-30,203.903,208.703,209.903,200.263,215515.000
2023-07-03,211.863,209.793,213.863,208.463,155544.000
2023-07-04,208.413,209.163,209.963,207.593,101557.000
2023-07-05,209.173,207.423,210.323,205.413,86364.000
2023-07-06,206.913,204.763,208.393,203.883,102836.000
2023-07-07,204.713,202.163,204.763,201.513,98084.000
2023-07-10,202.913,208.713,209.913,202.913,160938.000
2023-07-11,209.563,209.003,209.903,206.493,91588.000
2023-07-12,208.413,206.903,209.313,206.413,86933.000
2023-07-13,208.123,209.913,214.913,208.123,222577.000
2023-07-14,210.063,208.193,210.843,206.463,130041.000
2023-07-17,206.923,205.563,207.913,203.513,104525.000
2023-07-18,207.713,205.413,207.793,204.413,85758.000
2023-07-19,203.913,199.413,204.863,198.493,176002.000
2023-07-20,198.913,200.963,206.603,198.913,144416.000
2023-07-21,200.763,201.503,202.893,199.673,83935.000
2023-07-24,197.063,198.893,200.793,194.053,137193.000
2023-07-25,204.813,206.263,207.553,200.933,192862.000
2023-07-26,205.033,206.573,206.913,203.573,154568.000
2023-07-27,210.913,206.893,212.793,206.793,208592.000
